,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
71,148,Andrew Farrell,NE,D,182600.0,263600.0,30,0,2665,0,3,5,1,0.2,77.8,0.6,0,6.77
72,37,Benny Feilhaber,KC,M,600000.0,600000.0,24,6,2271,5,1,4,0,2.1,83.1,0.6,2,7.08
73,116,Gerso Fernandes,KC,M,550008.0,591258.0,26,6,2239,8,2,4,0,1.9,81.3,0.0,5,6.86
74,107,Maynor Figueroa,DAL,D,320000.0,343333.33,26,0,2325,3,0,8,0,1.3,77.7,1.5,1,6.88
75,268,Ethan Finlay,CLB,M,290000.0,290000.0,14,5,1286,1,1,2,0,1.1,75.6,0.4,0,6.5
76,164,Kyle Fisher,MTL,D,53004.0,53004.0,15,5,1455,1,0,3,0,0.3,83.0,2.3,0,6.74
77,161,Kortne Ford,COL,D,69996.0,76996.0,19,1,1727,1,0,4,0,0.5,77.8,1.2,1,6.74
78,274,Sean Franklin,DC,D,258756.0,283756.0,15,4,1416,0,2,5,0,0.4,75.9,1.2,1,6.48
79,180,Stefan Frei,SEA,GK,250000.0,256250.0,33,0,2970,0,0,2,0,0.0,64.3,0.3,0,6.7
80,238,Raymon Gaddis,PHI,D,165000.0,167500.0,23,3,2028,0,0,5,0,0.1,83.0,0.3,0,6.59
81,65,Greg Garza,ATL,D,150000.0,150000.0,25,1,2151,2,4,2,0,0.5,81.5,0.8,0,6.97
82,267,Joshua Gatt,COL,M,175008.0,193508.0,11,9,1067,2,2,3,0,0.9,71.6,0.5,0,6.51
83,304,Luis Gil,ORL,M,144000.0,144000.0,6,11,598,0,0,1,0,0.6,80.5,0.2,0,6.38
84,2,Sebastian Giovinco,TOR,F,5600000.0,7115555.67,25,0,2061,16,6,4,0,5.1,72.3,0.0,6,7.51
85,80,Justen Glad,RSL,D,225000.0,246700.0,18,0,1620,0,0,2,0,0.6,84.3,2.4,1,6.94
