,R1,R2,Name1,Name2,Club1,Club2,Pos1,Pos2,BaseSalary1,BaseSalary2,Compensation1,Compensation2,Apps1,Apps2,SubApps1,SubApps2,Mins1,Mins2,Goals1,Goals2,Assists1,Assists2,Yel1,Yel2,Red1,Red2,SpG1,SpG2,PS1,PS2,AerialsWon1,AerialsWon2,MotM1,MotM2,Rating1,Rating2
34,42,157,Laurent Ciman,Laurent Ciman,MTL,MTL,D,D,630000.0,630000.0,661666.67,661666.67,28,30,0,0,2484,2700,0,0,0,1,3,6,0,0,0.6,0.5,80.7,80.7,1.4,1.5,2,1,7.02,6.75
35,78,166,Ricardo Clark,Ricardo Clark,HOU,HOU,M,M,319200.0,335160.0,356700.0,372660.0,29,26,3,2,2551,2252,4,0,2,0,4,6,0,0,1.3,0.8,82.1,80.4,1.3,1.1,1,0,6.91,6.74
36,147,173,Ashley Cole,Ashley Cole,LA,LA,D,D,300000.0,350000.0,327625.0,377625.0,25,29,1,0,2228,2499,1,1,0,2,2,1,2,1,0.3,0.3,85.7,85.3,0.8,0.8,0,0,6.76,6.72
37,131,221,Sam Cronin,Sam Cronin,COL,MNUFC,M,M,225000.0,300000.0,227500.0,306250.0,33,18,0,0,2924,1551,1,0,1,1,6,3,0,0,0.8,0.3,82.1,87.5,0.9,0.4,1,0,6.79,6.62
38,176,201,Sean Davis,Sean Davis,NYRB,NYRB,M,M,90000.0,110000.0,107500.0,127500.0,11,21,10,6,1108,1796,2,2,2,2,0,5,0,0,0.6,1.0,82.6,83.7,0.4,0.4,2,0,6.71,6.67
39,205,103,Nick DeLeon,Nick DeLeon,DC,DC,M,M,235000.0,255000.0,235000.0,255000.0,27,18,5,1,2509,1594,1,0,0,0,5,3,0,0,1.1,0.9,84.6,82.3,0.5,1.4,0,0,6.66,6.88
40,136,59,Marco Delgado,Marco Delgado,TOR,TOR,M,M,100000.0,210000.0,102500.0,210000.0,23,25,5,1,1997,2072,2,3,2,2,5,1,0,1,0.6,0.7,81.0,85.2,0.5,0.8,1,0,6.78,7.0
41,50,45,Clint Dempsey,Clint Dempsey,SEA,SEA,F,F,3913008.0,3200000.0,4605941.5,3892933.5,17,25,0,4,1430,2278,8,12,1,4,1,3,1,1,3.8,4.0,82.4,83.5,1.4,1.1,1,3,6.99,7.05
42,10,232,Mauro Diaz,Mauro Diaz,DAL,DAL,M,M,466000.0,784000.0,544400.0,880890.0,24,13,3,6,2149,1108,5,2,10,3,3,0,0,0,1.7,1.1,77.3,79.3,0.2,0.1,4,1,7.26,6.6
43,218,216,Marco Donadel,Marco Donadel,MTL,MTL,M,M,350000.0,349992.0,386666.67,386658.67,18,18,3,1,1515,1425,0,2,3,1,5,3,0,1,0.4,1.0,82.0,82.4,0.8,0.3,0,0,6.63,6.62
