,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
224,95,Keegan Rosenberry,PHI,D,62500.0,63750.0,34,0,3060,2,0,0,0,0.6,77.4,0.9,2,6.87
225,103,Brian Rowe,LA,GK,80000.0,80000.0,30,1,2765,0,0,0,0,0.0,51.9,0.3,2,6.85
226,33,Kelyn Rowe,NE,M,160000.0,241000.0,32,1,2787,5,6,2,0,2.0,73.6,0.8,3,7.08
227,249,Alvaro Saborio,DC,F,420000.0,535500.0,8,11,890,6,1,0,0,1.9,68.6,1.3,0,6.54
228,150,Mohammed Saeid,CLB,M,110000.0,120000.0,24,1,2017,0,5,2,0,0.8,89.2,0.0,0,6.76
229,286,Michael Salazar,MTL,F,51492.0,51492.0,8,9,711,2,0,1,0,0.5,74.4,1.0,0,6.38
230,272,Shea Salinas,SJ,M,163125.0,166458.33,8,25,1226,1,5,0,0,0.6,71.4,0.3,1,6.46
231,37,Marcelo Sarvas,DC,M,360000.0,425000.0,26,2,2247,1,2,11,1,0.8,81.0,0.5,2,7.06
232,167,Josh Saunders,NYCFC,GK,150000.0,150000.0,33,0,3000,0,0,4,0,0.0,74.0,0.3,0,6.73
233,211,Chris Seitz,DAL,GK,136000.0,136000.0,28,0,2520,0,0,1,0,0.0,59.3,0.3,0,6.65
234,207,Brek Shea,ORL,M,550000.0,595000.0,22,5,2004,3,2,9,0,1.0,74.1,0.9,0,6.66
235,187,Khiry Shelton,NYCFC,F,77000.0,94500.0,13,9,1160,4,6,0,0,0.8,72.7,1.4,0,6.69
236,82,Axel Sjoberg,COL,D,66000.0,81000.0,31,0,2772,2,1,6,0,0.4,82.3,2.2,1,6.89
237,204,Jordan Smith,VAN,D,115000.0,122743.0,15,2,1269,0,0,2,1,0.3,72.4,0.9,0,6.66
238,245,Luis Solignac,COL,F,85000.0,85000.0,12,6,1105,3,0,0,0,1.4,73.2,0.8,0,6.56
239,271,Michael Stephens,CHI,M,105000.0,115000.0,11,6,950,0,1,1,0,0.1,79.7,0.1,0,6.46
240,123,Daniel Steres,LA,D,62500.0,65086.04,29,2,2656,1,1,5,0,0.3,83.6,2.0,0,6.81
241,291,John Stertzer,RSL,M,66000.0,75166.67,9,9,778,0,1,0,0,0.3,82.6,0.5,0,6.31
242,132,Jermaine Taylor,POR,D,150000.0,150000.0,21,2,1841,0,2,4,0,0.4,80.1,1.4,0,6.79
243,143,Tony Tchani,CLB,M,250000.0,283333.33,20,1,1821,1,2,8,1,1.3,83.9,1.0,0,6.77
244,244,Cristian Techera,VAN,M,320000.0,345000.0,19,10,1586,2,1,3,0,1.5,74.1,0.1,0,6.56
245,194,Khaly Thiam,CHI,M,144000.0,144000.0,15,5,1286,1,0,3,1,1.1,76.9,2.2,0,6.68
246,254,Tommy Thompson,SJ,M,150000.0,155000.0,9,8,826,0,0,2,0,0.7,82.2,0.6,0,6.52
247,166,Chris Tierney,NE,D,125000.0,133333.33,27,1,2321,2,2,1,0,0.7,73.3,0.5,1,6.73
248,111,Donny Toia,MTL,D,67500.0,67500.0,15,2,1366,0,2,2,0,0.3,77.3,1.0,0,6.84
249,182,Wil Trapp,CLB,M,151250.0,178250.0,29,1,2573,0,0,5,0,0.3,88.1,0.8,0,6.7
250,248,Victor Ulloa,DAL,M,130000.0,132500.0,18,14,1642,2,0,2,0,0.3,81.4,1.1,0,6.54
251,26,Maximiliano Urruti,DAL,F,250000.0,250000.0,29,1,2484,9,3,4,0,3.0,74.5,0.8,3,7.12
252,92,Zarek Valentin,POR,D,90000.0,90000.0,18,2,1608,1,1,2,0,0.2,78.0,1.1,1,6.88
253,12,Diego Valeri,POR,M,600000.0,550000.0,30,0,2640,14,6,1,1,3.7,74.9,0.7,4,7.22
254,293,Johan Venegas,MTL,M,200000.0,212500.0,7,13,683,1,1,2,0,0.8,73.0,0.2,0,6.3
255,285,Gonzalo Veron,NYRB,M,500000.0,500000.0,6,17,631,3,0,2,1,0.8,75.6,0.3,0,6.39
256,4,David Villa,NYCFC,F,5610000.0,5610000.0,32,1,2899,23,4,5,0,5.0,71.8,0.2,9,7.37
257,229,Brandon Vincent,CHI,D,70000.0,91875.0,24,2,2191,0,2,1,0,0.3,66.5,1.3,0,6.59
258,235,Rob Vincent,DC,M,62508.0,62508.0,12,8,1137,2,0,4,0,0.9,77.5,0.5,1,6.57
259,227,Collen Warner,HOU,M,149934.0,177434.0,24,0,1979,0,0,2,0,0.5,83.7,0.8,0,6.59
260,97,Kendall Waston,VAN,D,300000.0,318125.0,26,0,2267,3,1,7,3,0.8,77.6,2.7,1,6.87
261,186,Je-Vaughn Watson,NE,D,110004.0,115837.33,19,4,1705,1,1,3,1,0.5,80.6,0.6,0,6.69
262,151,Jared Watts,COL,D,68000.0,68000.0,18,3,1647,0,0,5,0,0.4,81.4,1.1,1,6.75
263,183,Andrew Wenger,HOU,M,190000.0,190000.0,24,8,2064,6,2,3,0,1.4,66.4,1.2,2,6.7
264,118,Mekeil Williams,COL,D,85000.0,85000.0,17,4,1470,0,2,5,0,0.1,77.6,1.2,2,6.83
265,268,Sheanon Williams,HOU,D,162500.0,171500.0,20,2,1807,0,1,3,0,0.2,76.4,0.6,0,6.48
266,144,Joe Willis,HOU,GK,94500.0,94500.0,24,2,2275,0,1,2,0,0.0,43.3,0.2,2,6.77
267,251,Chris Wingert,RSL,D,235000.0,235000.0,18,2,1514,0,0,5,0,0.3,74.0,1.2,0,6.53
268,87,Chris Wondolowski,SJ,F,650000.0,700000.0,30,0,2697,12,3,0,0,2.6,73.0,1.4,0,6.88
269,189,London Woodberry,NE,D,63000.0,63000.0,23,2,2070,1,0,7,0,0.2,79.6,0.7,1,6.69
270,9,Bradley Wright-Phillips,NYRB,F,650000.0,710000.0,32,2,2762,24,4,3,0,3.1,69.9,1.4,9,7.28
271,124,Marvell Wynne,SJ,D,213750.0,224375.0,31,1,2769,0,1,3,0,0.0,82.6,0.4,0,6.81
272,213,Joshua Yaro,PHI,D,130000.0,194000.0,15,2,1329,0,0,1,2,0.0,85.6,0.8,0,6.64
273,7,Gyasi Zardes,LA,F,472500.0,472500.0,17,2,1604,6,5,1,0,1.3,71.1,2.2,3,7.29
274,6,Walker Zimmerman,DAL,D,174000.0,174000.0,30,0,2700,4,0,4,0,0.9,78.4,3.3,4,7.3
275,149,Sal Zizzo,NYRB,D,105000.0,105000.0,20,8,1921,0,1,2,0,0.6,74.9,1.1,0,6.76
276,76,Ronald Zubar,NYRB,D,240000.0,320000.0,19,2,1593,2,0,6,0,0.5,77.2,2.6,1,6.91
277,53,Graham Zusi,KC,F,700000.0,732102.27,18,3,1652,2,2,1,0,1.4,80.8,0.4,1,6.98
