R	Player	Apps	Mins	Goals	Assists	Yel	Red	SpG	PS%	AeiralsWon	MotM	Rating
115	Tim MeliaSporting Kansas City, 31, GK	31	2759	-	-	1	-	-	69.2	0.1	2	6.86
116	Gerso FernandesSporting Kansas City, 27, AM(LR)	26(6)	2239	8	2	4	-	1.9	81.3	-	5	6.86
117	Brandon VincentChicago Fire, 23, D(L),M(L)	26(1)	2341	2	4	3	-	0.7	79	1.5	-	6.86
118	Aaron LongNew York Red Bulls, 25, D(C)	30(1)	2661	1	-	3	-	0.7	75.9	2.3	1	6.86
119	Jeff LarentowiczAtlanta United, 34, D(C),DMC	30(3)	2602	1	1	6	-	0.5	84.2	1.8	-	6.85
120	Roland LamahFC Dallas, 30, M(L)	29(3)	2160	11	2	2	-	1.4	74.6	1.2	3	6.85
121	Chris MavingaToronto FC, 26, D(CL)	24(2)	2015	-	2	3	-	0.3	84.1	1.2	-	6.84
122	Cristian TecheraVancouver Whitecaps, 25, AM(LR)	24(5)	2045	6	4	1	-	1.9	70.6	0.2	3	6.84
123	Mauro ManotasHouston Dynamo, 22, AM(LR),FW	24(9)	2064	10	5	3	-	2.2	78.6	0.2	-	6.84
124	Giovani dos SantosLA Galaxy, 28, AM(CLR),FW	25	2191	6	3	3	-	2.4	88.5	0.1	2	6.84
125	Zarek ValentinPortland Timbers, 26, D(LR)	17(2)	1547	-	3	2	-	0.1	83.6	0.8	-	6.84
126	Kellyn AcostaFC Dallas, 22, D(R),DMC	20(3)	1895	3	2	2	-	2.1	78.2	0.5	1	6.83
127	AlexHouston Dynamo, 29, M(CLR)	28(4)	2310	2	7	4	1	1.3	78.6	0.3	4	6.83
128	Josh WilliamsColumbus Crew, 30, D(CR)	19(3)	1795	3	-	4	-	0.3	87.5	1.9	1	6.83
129	Donny ToiaOrlando City, 25, D(LR)	29(1)	2545	-	2	4	-	0.4	75	1.6	1	6.82
130	Jermaine JonesLA Galaxy, 36, D(C),M(C)	19(1)	1589	1	4	8	1	1.1	79.6	2.5	-	6.82
