,R,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AeiralsWon,MotM,Rating
,112,"Cyle LarinOrlando City, 23, FW",29(3),2456,14,3,-,-,2.3,73.4,1.3,2,6.84
,113,"Matt BeslerSporting Kansas City, 31, D(C)",17(1),1546,1,-,4,-,0.2,83,1.4,-,6.84
,114,"Michael BarriosFC Dallas, 26, AM(LR),FW",30(2),2454,9,2,3,-,1.6,78.4,0.2,1,6.84
,115,"Bill HamidDC United, 27, GK",20,1800,-,-,-,-,0.1,48,0.5,2,6.84
,116,"Javier MoralesReal Salt Lake, 38, M(C)",23(6),2184,4,3,5,-,1.3,85.4,0.1,2,6.83
,117,"Raúl RodríguezHouston Dynamo, 30, D(CR),DMC",24(1),2128,1,-,3,-,0.5,76.5,1.1,1,6.83
,118,"Mekeil WilliamsColorado Rapids, 27, D(LR)",17(4),1470,-,2,5,-,0.1,77.6,1.2,2,6.83
,119,"Justen GladReal Salt Lake, 21, D(C)",27(1),2424,2,1,4,-,0.1,84,1,-,6.83
,120,"Gershon KoffieNew England Rev., 26, M(C)",19(3),1545,-,3,8,1,0.8,82.5,1,1,6.83
,121,"Robbie KeaneLA Galaxy, 37, FW",16(1),1428,10,1,1,-,2.4,77.1,0.2,1,6.83
,122,"Kekuta MannehVancouver Whitecaps, 23, AM(CLR),FW",13(4),1140,5,2,1,-,2.1,72.1,0.5,1,6.82
,123,"Daniel SteresLA Galaxy, 27, D(C)",29(2),2656,1,1,5,-,0.3,83.6,2,-,6.81
,124,"Marvell WynneSan Jose Earthquakes, 31, D(CR)",31(1),2769,-,1,3,-,-,82.6,0.4,-,6.81
,125,"Andreas IvanschitzSeattle Sounders FC, 34, AM(CL)",25(3),1910,3,7,5,-,1.3,76.6,0.2,1,6.81
,126,"Nigel de JongLA Galaxy, 33, M(C)",18,1562,-,-,3,1,0.9,87.2,0.8,-,6.81
,127,"Sebastian LletgetLA Galaxy, 25, M(CLR)",23(8),2057,1,4,1,-,0.9,87,0.7,-,6.8
,128,"Kyle BeckermanReal Salt Lake, 35, DMC",27,2367,-,1,8,1,1.6,82.5,0.4,-,6.8
,129,"Bobby BoswellDC United, 35, D(C)",29(1),2632,2,1,3,-,0.5,70.3,1.8,-,6.8
,130,"Michael de LeeuwChicago Fire, 31, AM(CLR),FW",17(1),1466,7,2,2,-,1.4,75.8,0.9,-,6.79
,131,"Sam CroninColorado Rapids, 31, DMC",33,2924,1,1,6,-,0.8,82.1,0.9,1,6.79
,132,"Jermaine TaylorPortland Timbers, 33, D(CL)",21(2),1841,-,2,4,-,0.4,80.1,1.4,-,6.79
,133,"Joe BendikOrlando City, 28, GK",34,3060,-,-,2,-,-,58,0.2,1,6.79
,134,"Christian BolañosVancouver Whitecaps, 33, M(CLR)",23(4),2116,5,7,2,-,1.3,80.7,0.4,-,6.78
,135,"Jalil AnibabaHouston Dynamo, 29, D(CLR)",28(2),2614,-,1,4,-,0.4,72.1,1.8,2,6.78
,136,"Marco DelgadoToronto FC, 22, D(LR),M(CR)",23(5),1997,2,2,5,-,0.6,81,0.5,1,6.78
,137,"Chris DuvallNew York Red Bulls, 26, D(CR)",20(5),1889,-,1,4,1,0.4,72.2,1,1,6.78
,138,"Soni MustivarSporting Kansas City, 28, M(C)",24(1),2097,-,-,3,1,0.3,83.4,1.2,-,6.78
,139,"Diego CharaPortland Timbers, 32, DMC",30,2601,-,1,9,1,0.3,84.7,0.2,-,6.78
,140,"Will JohnsonToronto FC, 31, M(CR)",19(4),1663,2,3,4,-,1.4,82.2,0.7,1,6.77
,141,"Seb HinesOrlando City, 29, D(C)",23(3),2105,3,-,7,-,1,80.6,2.2,-,6.77
